Time (s),Amplitude
0.391260,0
0.391260,0
0.391260,0
0.392261,0
0.392261,0
0.392261,0
0.392261,0
0.392261,0
0.392261,0
0.392261,0
0.394261,0
0.394261,0
0.394261,0
0.394261,0
0.394261,0
0.394261,0
0.394261,0
0.394261,0
0.394261,0
0.394261,0
0.396261,0
0.396261,0
0.397262,0
0.397262,0
0.397262,0
0.397262,0
0.397262,0
0.397262,0
0.397262,0
0.397262,0
0.397262,0
0.399262,0
0.399262,0
0.399262,0
0.399262,0
0.399262,0
0.400261,0
0.400261,0
0.400261,0
0.400261,0
0.400261,0
0.400261,0
0.402266,0
0.402266,0
0.402266,0
0.403264,0
0.403264,0
0.403264,0
0.403264,0
0.403264,0
0.403264,0
0.403264,0
0.405263,0
0.405263,0
0.405263,0
0.405263,0
0.405263,0
0.405263,0
0.405263,0
0.405263,0
0.405263,0
0.405263,0
0.406262,0
0.408262,0
0.408262,0
0.408262,0
0.408262,0
0.408262,0
0.408262,0
0.408262,0
0.408262,0
0.408262,0
0.408262,0
0.408262,0
0.410272,0
0.410272,0
0.411262,0
0.411262,0
0.411262,0
0.411262,0
0.411262,0
0.411262,0
0.411262,0
0.411262,0
0.413263,0
0.413263,0
0.413263,0
0.413263,0
0.413263,0
0.413263,0
0.414262,0
0.414262,0
0.414262,0
0.414262,0
0.414262,0
0.416263,0
0.416263,0
0.416263,0
0.416263,0
0.416263,0
0.416263,0
0.416263,0
0.416263,0
0.416263,0
0.416263,0
0.417262,0
0.419263,0
0.419263,0
0.419263,0
0.419263,0
0.419263,0
0.419263,0
0.420264,0
0.420264,0
0.420264,0
0.420264,0
0.421263,0
0.422263,0
0.422263,0
0.422263,0
0.422263,0
0.422263,0
0.422263,0
0.422263,0
0.422263,0
0.422263,0
0.422263,0
0.424263,0
0.424263,0
0.424263,0
0.424263,0
0.424263,0
0.425263,0
0.425263,0
0.425263,0
0.425263,0
0.425263,0
0.425263,0
0.427263,0
0.427263,0
0.427263,0
0.427263,0
0.427263,0
0.427263,0
0.427263,0
0.427263,0
0.428263,0
0.428263,0
0.430263,0
0.430263,0
0.430263,0
0.430263,0
0.430263,0
0.430263,0
0.430263,0
0.431264,0
0.431264,0
0.431264,0
0.431264,0
0.433263,0
0.433263,0
0.433263,0
0.433263,0
0.433263,0
0.433263,0
0.433263,0
0.433263,0
0.433263,0
0.433263,0
0.433263,0
0.435266,0
0.436265,0
0.436265,0
0.436265,0
0.436265,0
0.436265,0
0.436265,0
0.436265,0
0.436265,0
0.437264,0
0.438264,0
0.438264,0
0.438264,0
0.438264,0
0.438264,0
0.438264,0
0.438264,0
0.439264,0
0.439264,0
0.439264,0
0.439264,0
0.441264,0
0.441264,0
0.441264,0
0.441264,0
0.441264,0
0.441264,0
0.441264,0
0.441264,0
0.441264,0
0.441264,0
0.441264,0
0.444265,0
0.444265,0
0.444265,0
0.444265,0
0.444265,0
0.444265,0
0.444265,0
0.445264,0
0.445264,0
0.445264,0
0.446264,0
0.446264,0
0.447265,0
0.447265,0
0.447265,0
0.447265,0
0.447265,0
0.447265,0
0.447265,0
0.447265,0
0.447265,0
0.449265,0
0.449265,0
0.449265,0
0.449265,0
0.449265,0
0.450265,0
0.450265,0
0.450265,0
0.450265,0
0.450265,0
0.450265,0
0.452266,0
0.452266,0
0.452266,0
0.452266,0
0.452266,0
0.452266,0
0.453265,0
0.453265,0
0.453265,0
0.453265,0
0.455266,0
0.455266,0
0.455266,0
0.455266,0
0.455266,0
0.455266,0
0.455266,0
0.455266,0
0.455266,0
0.456266,0
0.456266,0
0.458266,0
0.458266,0
0.458266,0
0.458266,0
0.458266,0
0.458266,0
0.458266,0
0.458266,0
0.458266,0
0.458266,0
0.458266,0
0.460266,0
